( 0 , 'there are such a large amount of')
( 326 , 'is more or less')
( 326 , 'is kind of')
( 327 , 'is making an attempt')
( 327 , 'is trying')
( 327 , 'is attempting')
( 328 , 'is little short of')
( 328 , 'is nothing short of')
( 329 , 'is for this reason')
( 329 , 'is because of this')
( 329 , 'is for that reason')
( 330 , 'is becoming more popular')
( 330 , 'is rising in popularity')
( 330 , 'is gaining popularity')
( 331 , 'is as simple as')
( 331 , 'is so simple as')
( 332 , 'is an excellent spot')
( 332 , 'is a great spot')
( 333 , 'is a top quality')
( 333 , 'is a fine quality')
( 333 , 'is a high-quality')
( 334 , 'is a part of')
( 334 , 'is part of')
( 335 , 'is a major factor')
( 335 , 'is a significant factor')
( 335 , 'is a significant component')
( 336 , 'is a little more')
( 336 , 'is a bit more')
( 337 , 'is a handy gizmo')
( 337 , 'is a great tool')
( 337 , 'is a useful gizmo')
( 338 , 'is a frequently disregarded')
( 338 , 'is a frequently forgotten')
( 338 , 'is an often overlooked')
( 339 , 'is a fairly large')
( 339 , 'is a pretty big')
( 339 , 'is a reasonably large')
( 340 , 'is a bit more')
( 340 , 'is a little more')
( 341 , 'in a similar fashion')
( 341 , 'similarly')
( 341 , 'in a similar way')
( 342 , 'if you would like')
( 342 , 'if you need')
( 342 , 'if you want')
( 343 , 'i used to be')
( 343 , 'i was')
( 344 , 'i am able to')
( 344 , 'i''m able to')
( 345 , 'have shyed away from')
( 345 , 'avoided')
( 346 , 'have an effect on')
( 346 , 'affect')
( 346 , 'impact')
( 347 , 'give an explanation for')
( 347 , 'explain')
( 347 , 'provide an explanation for')
( 348 , 'for so long as')
( 348 , 'for as long as')
( 349 , 'for no less than')
( 349 , 'for at least')
( 349 , 'for a minimum of')
( 350 , 'for making improvements to')
( 350 , 'for improving')
( 350 , 'for bettering')
( 351 , 'for looking and feeling')
( 351 , 'for feeling and looking')
( 352 , 'for as long as')
( 352 , 'for so long as')
( 353 , 'for an extremely low')
( 353 , 'for a low')
( 354 , 'for a search phrase')
( 354 , 'for a key term')
( 354 , 'for a search term')
( 355 , 'for a minimum of')
( 355 , 'for no less than')
( 355 , 'for at least')
( 356 , 'for a long time')
( 356 , 'for a very long time')
( 357 , 'for a lot')
( 357 , 'for lots')
( 358 , 'don''t seem to be')
( 358 , 'aren''t')
( 358 , 'are not')
( 359 , 'do something positive about')
( 359 , 'do something about')
( 360 , 'do not be disturbed')
( 360 , 'do not be concerned')
( 360 , 'don''t worry')
( 360 , 'do not fret')
( 361 , 'do not be concerned')
( 361 , 'don''t be concerned')
( 361 , 'don''t worry')
( 362 , 'at some point soon')
( 362 , 'at some point')
( 362 , 'sooner or later')
( 363 , 'as far back as')
( 363 , 'way back to')
( 364 , 'are you able to')
( 364 , 'can you')
( 365 , 'are we able to')
( 365 , 'can we')
( 366 , 'are a few things')
( 366 , 'are some things')
( 367 , 'and you have got')
( 367 , 'and you have')
( 367 , 'and you''ve got')
( 368 , 'and you are going')
( 368 , 'and you''re going')
( 369 , 'and what kind of')
( 369 , 'and what sort of')
( 369 , 'and how much')
( 370 , 'and think about it')
( 370 , 'and give it some thought')
( 371 , 'and there is no')
( 371 , 'and there''s no')
( 372 , 'and there is a')
( 372 , 'and there''s a')
( 373 , 'and that is what')
( 373 , 'and that''s what')
( 374 , 'and that is the')
( 374 , 'and that''s the')
( 375 , 'and ladies and men')
( 375 , 'and males and females')
( 375 , 'and men and women')
( 376 , 'and it is vital')
( 376 , 'and it''s important')
( 376 , 'and it is important')
( 377 , 'and it is important')
( 377 , 'and it''s important')
( 378 , 'and is the reason')
( 378 , 'which explains')
( 379 , 'and in the summer')
( 379 , 'and in the summertime')
( 380 , 'and have a tendency')
( 380 , 'and tend')
( 381 , 'and have a look')
( 381 , 'and take a look')
( 382 , 'and give the opportunity')
( 382 , 'and give the chance')
( 382 , 'and make it possible')
( 383 , 'and lets you')
( 383 , 'and allows you to')
( 384 , 'and an eye for')
( 384 , 'and one eye on')
( 384 , 'and a mind for')
( 385 , 'an out of doors')
( 385 , 'an outdoor')
( 385 , 'an outside')
( 386 , 'an approach to life')
( 386 , 'a way of life')
( 386 , 'a lifestyle')
( 387 , 'am i able to')
( 387 , 'can i')
( 388 , 'a place to begin')
( 388 , 'a kick off point')
( 388 , 'a starting point')
( 389 , 'a path to success')
( 389 , 'a path to achievement')
( 389 , 'a route to success')
( 390 , 'a number of benefits')
( 390 , 'an a variety of benefits')
( 390 , 'a number of advantages')
( 391 , 'a number of advantages')
( 391 , 'a number of benefits')
( 391 , 'an a variety of benefits')
( 392 , 'a ma and pa')
( 392 , 'a mum and dad')
( 392 , 'a mom and dad')
( 393 , 'a less than perfect')
( 393 , 'a not quite perfect')
( 393 , 'a less than excellent')
( 394 , 'a less than excellent')
( 394 , 'an imperfect')
( 394 , 'a less than perfect')
( 395 , 'a dash of colour')
( 395 , 'a splash of color')
( 395 , 'a splash of colour')
( 396 , 'a brand spanking new')
( 396 , 'a brand new')
( 397 , 'a call for participation')
( 397 , 'an invitation')
( 398 , 'a full of life')
( 398 , 'a lively')
( 399 , 'a good deal of')
( 399 , 'a great deal of')
( 400 , 'a piece of writing')
( 400 , 'an article')
( 400 , 'an editorial ')
( 401 , 'believe')
( 401 , 'consider')
( 401 , 'imagine')
( 402 , 'accept as true with')
( 402 , 'agree with')
( 402 , 'believe')
( 402 , 'consider')
( 402 , 'trust')
( 403 , 'all of a sudden')
( 403 , 'unexpectedly')
( 403 , 'abruptly')
( 403 , 'rapidly')
( 403 , 'swiftly')
( 403 , 'hastily')
( 403 , 'impulsively')
( 404 , 'all over the place')
( 404 , 'everywhere')
( 404 , 'all over')
( 404 , 'in all places')
( 404 , 'far and wide')
( 404 , 'in every single place')
( 405 , 'all the way through')
( 405 , 'throughout')
( 405 , 'all through')
( 405 , 'right through')
( 405 , 'during')
( 405 , 'all over')
( 406 , 'love it')
( 406 , 'like it')
( 406 , 'adore it')
( 406 , 'find it irresistible')
( 407 , 'am passionate about it')
( 407 , 'am fond of it')
( 408 , 'an immediate')
( 408 , 'an instantaneous')
( 408 , 'a direct')
( 408 , 'a right away')
( 409 , 'are aware of it')
( 409 , 'know it')
( 409 , 'realize it')
( 409 , 'comprehend it')
( 409 , 'understand it')
( 410 , 'as a result of')
( 410 , 'due to')
( 410 , 'because of')
( 411 , 'as it should be')
( 411 , 'correctly')
( 411 , 'appropriately')
( 411 , 'accurately')
( 412 , 'at some point of')
( 412 , 'during')
( 412 , 'throughout')
( 412 , 'all through')
( 412 , 'for the duration of')
( 412 , 'in the course of')
( 412 , 'at some stage in')
( 413 , 'at some stage in')
( 413 , 'during')
( 413 , 'throughout')
( 413 , 'all through')
( 413 , 'for the duration of')
( 413 , 'in the course of')
( 413 , 'at some point of')
( 414 , 'at the back of')
( 414 , 'behind')
( 414 , 'in the back of')
( 415 , 'these days')
( 415 , 'nowadays')
( 415 , 'at the moment')
( 416 , 'at the side of')
( 416 , 'along side')
( 416 , 'in conjunction with')
( 416 , 'together with')
( 416 , 'along with')
( 417 , 'be a focus for')
( 417 , 'be a magnet for')
( 417 , 'catch the attention of')
( 418 , 'be all ears to')
( 418 , 'be conscious of')
( 419 , 'remedy')
( 419 , 'treatment')
( 420 , 'bear in mind to')
( 420 , 'consider to')
( 420 , 'concede to')
( 420 , 'deliberate to')
( 420 , 'envisage to')
( 421 , 'blow his own trumpet')
( 421 , 'self-praise')
( 421 , 'puff up')
( 421 , 'sing his own praises')
( 422 , 'blow their own horns')
( 422 , 'show off')
( 422 , 'sing their own praises')
( 423 , 'bring it to mind')
( 423 , 'remember it')
( 423 , 'commit it to memory')
( 424 , 'bring to a close')
( 424 , 'bring to an end')
( 424 , 'bring to a standstill')
( 424 , 'bring to a halt')
( 425 , 'bring to a halt')
( 425 , 'cut off')
( 425 , 'bring to an end')
( 426 , 'bring to a standstill')
( 426 , 'bring to an end')
( 426 , 'bring to a close')
( 426 , 'bring to a halt')
( 427 , 'buckle down and do')
( 427 , 'wade through')
( 427 , 'plow through')
( 428 , 'by the use of')
( 428 , 'by means of')
( 428 , 'by way of')
( 429 , 'catch the attention of')
( 429 , 'be a magnet for')
( 429 , 'be a focus for')
( 430 , 'chucking up the sponge')
( 430 , 'throwing in the towel')
( 430 , 'dropping by the wayside')
( 430 , 'falling by the wayside')
( 431 , 'come to a decision')
( 431 , 'decide')
( 431 , 'make a decision')
( 432 , 'commit it to memory')
( 432 , 'remember it')
( 432 , 'recall it')
( 432 , 'bring it to mind')
( 433 , 'despite the fact that')
( 433 , 'even though')
( 433 , 'although')
( 433 , 'even if')
( 433 , 'even supposing')
( 434 , 'diving with a snorkel')
( 434 , 'diving under')
( 434 , 'snorkel diving')
( 434 , 'happily snorkeling')
( 435 , 'divulge heart''s contents to')
( 435 , 'confide in')
( 435 , 'open up to')
( 435 , 'speak in confidence')
( 436 , 'do business from home')
( 436 , 'work from home')
( 436 , 'work at home')
( 436 , 'earn a living from home')
( 436 , 'make money working from home')
( 437 , 'dropping by the wayside')
( 437 , 'throwing in the towel')
( 437 , 'chucking up the sponge')
( 437 , 'dropping out')
( 437 , 'falling by the wayside')
( 438 , 'every now and then')
( 438 , 'once in a while')
( 438 , 'every so often')
( 438 , 'now and again')
( 438 , 'from time to time')
( 439 , 'falling by the wayside')
( 439 , 'throwing in the towel')
( 439 , 'chucking up the sponge')
( 439 , 'dropping by the wayside')
( 440 , 'fan the flames of')
( 440 , 'fire up')
( 440 , 'stir up')
( 441 , 'find irresistible to do')
( 441 , 'love to do')
( 441 , 'like to do')
( 441 , 'care to do')
( 441 , 'cherish to do')
( 442 , 'find the money for')
( 442 , 'afford')
( 442 , 'have enough money')
( 442 , 'have the funds for')
( 442 , 'manage to pay for')
( 442 , 'come up with the money for')
( 443 , 'fit for human consumption')
( 443 , 'safe to eat')
( 443 , 'suitable for eating')
( 443 , 'fit to be eaten')
( 444 , 'safe to eat')
( 444 , 'suitable for eating')
( 444 , 'fit for human consumption')
( 445 , 'for ever and ever')
( 445 , 'with no end in sight')
( 445 , 'with no sign of ending')
( 445 , 'without end')
( 446 , 'for free of charge')
( 446 , 'without charge')
( 446 , 'at no cost')
( 447 , 'for the duration of')
( 447 , 'during')
( 447 , 'throughout')
( 447 , 'all through')
( 447 , 'in the course of')
( 447 , 'at some stage in')
( 447 , 'at some point of')
( 448 , 'for the reason that')
( 448 , 'given that')
( 449 , 'for the time being')
( 449 , 'in the meanwhile')
( 449 , 'in the intervening time')
( 449 , 'in the interim')
( 450 , 'from side to side')
( 450 , 'back and forth')
( 450 , 'backward and forward')
( 451 , 'from time to time')
( 451 , 'once in a while')
( 451 , 'every so often')
( 451 , 'every now and then')
( 451 , 'now and again')
( 451 , 'occasionally')
( 451 , 'sometimes')
( 451 , 'on occasion')
( 451 , 'infrequently')
( 452 , 'gave the impression of')
( 452 , 'seemed like')
( 452 , 'appeared like')
( 452 , 'looked like')
( 452 , 'gave the look of')
( 453 , 'gave the impression to')
( 453 , 'seemed to')
( 453 , 'appeared to')
( 453 , 'looked as if it would')
( 453 , 'perceived to')
( 454 , 'gave the look of')
( 454 , 'seemed like')
( 454 , 'appeared like')
( 454 , 'gave the impression of')
( 454 , 'looked like')
( 455 , 'get a hold of')
( 455 , 'come up with')
( 456 , 'get up')
( 456 , 'rise up')
( 456 , 'stand up')
( 457 , 'give a boost to')
( 457 , 'beef up')
( 457 , 'strengthen')
( 457 , 'improve')
( 457 , 'enhance')
( 457 , 'reinforce')
( 457 , 'make stronger')
( 457 , 'support')
( 457 , 'fortify')
( 457 , 'toughen')
( 458 , 'give good reason for')
( 458 , 'give reason for')
( 458 , 'give explanation for')
( 459 , 'go back and forth')
( 459 , 'commute')
( 459 , 'travel')
( 459 , 'trip')
( 459 , 'shuttle')
( 460 , 'go for holiday at')
( 460 , 'go to vacation at')
( 460 , 'trip at')
( 461 , 'go on a spree')
( 461 , 'go shopping')
( 461 , 'buy groceries')
( 461 , 'window shop')
( 462 , 'go with the flow')
( 462 , 'drift')
( 462 , 'float')
( 462 , 'flow')
( 462 , 'glide')
( 462 , 'waft')
( 463 , 'had a good time')
( 463 , 'had fun')
( 464 , 'has the same opinion')
( 464 , 'agrees')
( 464 , 'concurs')
( 464 , 'consents')
( 464 , 'is of the same opinion')
( 465 , 'have the benefit of')
( 465 , 'take pleasure in')
( 465 , 'get pleasure from')
( 465 , 'benefit from')
( 466 , 'have the funds for')
( 466 , 'afford')
( 466 , 'have enough money')
( 466 , 'manage to pay for')
( 466 , 'find the money for')
( 466 , 'come up with the money for')
( 467 , 'have the same opinion')
( 467 , 'be in agreement')
( 467 , 'lend a hand')
( 468 , 'having a pipe dream')
( 468 , 'daydreaming')
( 469 , 'if truth be told')
( 469 , 'in fact')
( 469 , 'actually')
( 469 , 'in reality')
( 469 , 'in truth')
( 470 , 'in a different way')
( 470 , 'differently')
( 470 , 'another way')
( 470 , 'otherwise')
( 471 , 'in a foreign country')
( 471 , 'abroad')
( 471 , 'in another country')
( 471 , 'out of the country')
( 472 , 'indirectly')
( 472 , 'not directly')
( 473 , 'in depth knowledge about')
( 473 , 'exhaustive knowledge about')
( 474 , 'in every single place')
( 474 , 'everywhere')
( 474 , 'all over the place')
( 474 , 'in all places')
( 475 , 'differently')
( 475 , 'in a different way')
( 475 , 'in another way')
( 475 , 'otherwise')
( 476 , 'in point of fact')
( 476 , 'actually')
( 476 , 'really')
( 476 , 'in reality')
( 476 , 'truly')
( 477 , 'in spite of everything')
( 477 , 'after all')
( 477 , 'in any case')
( 477 , 'in the end')
( 477 , 'finally')
( 478 , 'in the back of')
( 478 , 'behind')
( 478 , 'at the back of')
( 479 , 'in the course of')
( 479 , 'in the middle of')
( 479 , 'in the midst of')
( 480 , 'looking for')
( 480 , 'in search of')
( 480 , 'on the lookout for')
( 480 , 'searching for')
( 481 , 'in the intervening time')
( 481 , 'in the meanwhile')
( 481 , 'in the interim')
( 481 , 'at the moment')
( 481 , 'in the mean time')
( 481 , 'for the time being')
( 482 , 'in the mean time')
( 482 , 'in the meanwhile')
( 482 , 'in the intervening time')
( 482 , 'in the interim')
( 482 , 'at the moment')
( 482 , 'for the time being')
( 483 , 'in the middle of')
( 483 , 'in the midst of')
( 483 , 'in the course of')
( 484 , 'in the slightest degree')
( 484 , 'in the least')
( 484 , 'the least bit')
( 485 , 'it sounds as if')
( 485 , 'apparently')
( 485 , 'it seems that')
( 485 , 'it appears')
( 486 , 'keep an eye on')
( 486 , 'regulate')
( 486 , 'control')
( 486 , 'keep watch over')
( 487 , 'keep up a correspondence')
( 487 , 'keep in touch')
( 487 , 'be in contact')
( 488 , 'relax')
( 488 , 'chill out')
( 488 , 'loosen up')
( 488 , 'calm down')
( 489 , 'live much longer than')
( 489 , 'live longer than')
( 489 , 'outlast')
( 489 , 'out survive')
( 490 , 'made up our minds')
( 490 , 'decided')
( 490 , 'determined')
( 491 , 'recover')
( 491 , 'recuperate')
( 491 , 'get well')
( 491 , 'get better')
( 492 , 'make the most of')
( 492 , 'take advantage of')
( 492 , 'benefit from')
( 492 , 'profit from')
( 493 , 'decide')
( 493 , 'determine')
( 493 , 'resolve')
( 494 , 'making a gift of')
( 494 , 'giving away')
( 494 , 'gifting away')
( 494 , 'giving for free')
( 494 , 'freely giving')
( 494 , 'giving freely')
( 495 , 'making an allowance for')
( 495 , 'bearing in mind')
( 495 , 'allowing for')
( 495 , 'taking into consideration')
( 495 , 'taking into account')
( 496 , 'making the most of')
( 496 , 'taking advantage of')
( 496 , 'benefiting from')
( 496 , 'profiting from')
( 497 , 'manage to pay for')
( 497 , 'have enough money')
( 497 , 'have the funds for')
( 497 , 'find the money for')
( 497 , 'come up with the money for')
( 498 , 'middle of the night')
( 498 , 'midnight')
( 498 , 'nighttime')
( 499 , 'more often than not')
( 499 , 'most of the time')
( 499 , 'as a rule')
( 500 , 'more than a few')
( 500 , 'various')
( 500 , 'quite a lot of')
( 501 , 'most of the time')
( 501 , 'more often than not')
( 502 , 'on a daily basis')
( 502 , 'each day')
( 502 , 'every day')
( 503 , 'on a regular basis')
( 503 , 'usually')
( 503 , 'frequently')
( 503 , 'regularly')
( 504 , 'on the brink of')
( 504 , 'getting ready to')
( 504 , 'on the point of')
( 505 , 'looking for')
( 505 , 'in search of')
( 505 , 'searching for')
( 506 , 'on the other hand')
( 506 , 'however')
( 506 , 'then again')
( 506 , 'nevertheless')
( 507 , 'on the right track')
( 507 , 'heading in the right direction')
( 508 , 'on the subject of')
( 508 , 'as regards to')
( 508 , 'with reference to')
( 508 , 'with regards to')
( 509 , 'on top of things')
( 509 , 'up to the mark')
( 510 , 'once in a while')
( 510 , 'every so often')
( 510 , 'every now and then')
( 510 , 'now and again')
( 510 , 'from time to time')
( 510 , 'occasionally')
( 510 , 'on occasion')
( 510 , 'infrequently')
( 511 , 'one at a time')
( 511 , 'one by one')
( 511 , 'separately')
( 511 , 'one after the other')
( 512 , 'one in every of')
( 512 , 'one among')
( 512 , 'one in all')
( 512 , 'one amongst')
( 513 , 'safe')
( 513 , 'protected')
( 513 , 'secure')
( 514 , 'accidentally')
( 514 , 'by chance')
( 514 , 'by accident')
( 514 , 'unintentionally')
